"osm_id,N,10,0","amenity,C,254","brand,C,254","name,C,254","operator,C,254","z_order,N,10,0","Coord_X,C,50","Coord_Y,C,50"
25210158,      fuel,,                                      Intermarché,                                         Groupement des Mousquetaires,0,"3,80915529946976","43,613568396048"
1503101239,      fuel,,                                      Garage Peugot,,0,"3,8109910994695","43,6457046960462"
281571691,      fuel,,                                      Station Total,                                         Total,0,"3,82305399946782","43,6350482960468"
312799971,      fuel,,,,0,"3,82516579946753","43,614846196048"
1503101237,      fuel,,                                      Casino carburant,,0,"3,8318398994666","43,6484641960461"
805077408,      fuel,,,,0,"3,83765179946579","43,6062775960484"
1505439791,      fuel,,,                                         Elf,0,"3,83919809946558","43,6103316960482"
282457768,      fuel,,                                      Carrefour,                                         Carrefour,0,"3,843322799465","43,6468931960462"
1347136557,      fuel,,                                      Agip,                                         Agip,0,"3,84375509946494","43,6182241960478"
480163870,      fuel,,                                      Casino,                                         Casino,0,"3,8461963994646","43,6411299960465"
603727961,      fuel,,                                      Carrefour,                                         Carrefour,0,"3,8469765994645","43,5709975960504"
25211067,      fuel,,                                      Station Elf,                                         Elf,0,"3,84833799946431","43,5950302960491"
293645445,      fuel,,,,0,"3,85473439946342","43,5901575960494"
76856401,      fuel,,,,0,"3,87646089946039","43,6264874960473"
25210496,      fuel,,                                      Station Agip,                                         Agip,0,"3,87678169946035","43,57885189605"
267582145,      fuel,,,,0,"3,88625069945903","43,6071084960484"
1252101925,      fuel,          Total,,,0,"3,88913859945863","43,5893473960494"
916939256,      fuel,,                                      Géant,,0,"3,88963899945856","43,5884984960494"
280948806,      fuel,,,,0,"3,89865159945731","43,6233041960475"
280687718,      fuel,,,                                         Total,0,"3,89889529945727","43,6071924960484"
25209822,      fuel,,                                      Relais Elf de la Lironde,                                         Elf,0,"3,9130224994553","43,6080526960483"
297442654,      fuel,,,,0,"3,93071249945284","43,5807062960499"
280865523,      fuel,,,,0,"3,93108829945279","43,5810703960499"
25214796,      fuel,,                                      C. C. Auchan,                                         Auchan,0,"3,94164949945131","43,5707584960504"
