"Dossier","Nom","BORNE_FONT","CatÉgorie","Longitude","Latitude"
1056,"Square Théophraste Renaudot",1,"Square","3,87576","43,615"
1069,"Parc du Belvédère",1,"Parc","3,84642","43,5902"
1,"Esplanade Paul Valéry",1,"Parc","3,84423","43,5985"
7,"Petit bois de la Colline",2,"Bois","3,84022","43,6053"
9,"Parc du Mas de la Paillade",1,"Parc","3,81614","43,6279"
11,"Parc Edith Piaf",1,"Parc","3,88853","43,6223"
13,"Parc de la Guirlande",1,"Parc","3,86091","43,6076"
14,"Parc Rimbaud",1,"Parc","3,89442","43,6181"
15,"Bois de Montmaur",1,"Bois","3,86923","43,6424"
16,"Parc Sainte Odile",1,"Parc","3,87212","43,6241"
18,"Esplanade Charles de Gaulle",2,"Parc","3,8809","43,6105"
19,"Jardin du Champ de Mars",1,"Parc","3,88212","43,6113"
20,"Parc des Pastourelles",1,"Parc","3,89944","43,6209"
21,"Parc Tastavin",1,"Parc","3,86919","43,5962"
22,"Parc de la Rauze",1,"Parc","3,89582","43,5908"
23,"Jardin de la Pépinière",1,"Square","3,88507","43,5956"
27,"Cimetière Saint-Etienne",29,"Cimeti","3,93586","43,6175"
28,"Square Planchon",1,"Square","3,87992","43,6055"
29,"Square de la Tour des pins",1,"Square","3,87377","43,614"
30,"Parc Saint-Martin (ancien évéché)",1,"Square","3,88491","43,592"
31,"Mail Alain Bashung",1,"Square","3,88351","43,5939"
32,"Esplanade de Celleneuve",1,"Square","3,8306","43,6138"
48,"Square Boussinesq",1,"Square","3,85835","43,612"
49,"Square des Arceaux",1,"Square","3,86092","43,612"
65,"Parc des Aiguerelles",1,"Square","3,89113","43,5984"
66,"Mare écologique",1,"Bois","3,92447","43,6162"
67,"Parc Magnol",1,"Square","3,86322","43,6173"
83,"Promenade du Peyrou",2,"Parc","3,86967","43,6112"
84,"Aire de jeux Villeneuve d'Angoulême",1,"Square","3,86902","43,5967"
95,"Square des Près d'Arènes",1,"Square","3,88972","43,5905"
136,"Tour de la Babotte",1,"Ab,bat","3,87725","43,6064"
162,"Jardinière Saint-Denis",1,"Jard,","3,87487","43,6053"
200,"Square Jean Monnet",1,"Square","3,88918","43,6042"
226,"Plan de l'olivier",1,"Place","3,87809","43,6134"
289,"Square du Mas Drevon",1,"Square","3,86968","43,5918"
305,"Bois de la Chaumière",1,"Bois","3,93316","43,6155"
310,"Parc du château de Grammont",1,"Parc","3,92957","43,6154"
429,"Cimetière de Celleneuve",1,"Cimeti","3,82682","43,6166"
457,"Square Charles Flahaut",1,"Square","3,87863","43,6171"
474,"Place de Marathon",1,"Place","3,88932","43,6076"
575,"Square Fabre de Morlhon",1,"Square","3,87792","43,5942"
945,"Esplanade Gabriel Michel",1,"Square","3,90862","43,6138"
670,"Centre horticole R de Belleval",1,"Divers","3,9247","43,6157"
709,"Square Joseph Delteil",1,"Square","3,83854","43,6161"
797,"Place Louis et Marie Trégaro",1,"Place","3,89507","43,6031"
815,"Place des Patriotes",1,"Place","3,89373","43,6016"
873,"Parc Edouard André",1,"Square","3,82308","43,6135"
965,"Parc Dioscoride",1,"Parc","3,8318","43,6131"
