"MONUMENT,N,11,0","NOM,C,50","X,N,19,15","Y,N,19,15"
2,Monument aux défunts de Madagascar,"3,894119","43,627756"
3,Monument aux morts 1914-1918,"3,892094","43,627228"
4,Monument aux morts 1870-1871,"3,894679","43,626281"
5,Monument Indo-Chinois,"3,892853","43,625486"
6,Monument Franco-Belge,"3,892644","43,625731"
7,Monument aux rapatriés d'Algérie,"3,889756","43,62374"
8,Monument aux morts 1939-1945 Indochine et Algérie,"3,891454","43,624123"
12,Buste de Jean Monnet en bronze,"3,889606","43,603915"
13,Grand Bassin Grammont,"3,928945","43,615538"
14,"Buste ""Dame d'Elche"" en pierre","3,885404","43,609039"
15,Fontaine statue danseuse,"3,890684","43,610203"
16,"Statue ""Orlando Furioso"" ou ""Rolland portant son c","3,896451","43,607567"
17,Statue Vierge en métal,"3,816283","43,627829"
18,Statue Hecate et Cerbère en marbre,"3,926442","43,617678"
19,Statue et bassin parc de Grammont,"3,92941","43,616154"
20,2 lions grand escalier château Grammont,"3,930043","43,615564"
21,Tombe de femme,"3,92944","43,615271"
22,Monument aux morts en béton,"3,826603","43,616939"
23,Buffet d'eau parc Guirlande,"3,859753","43,606982"
24,2 statues lions en pierre,"3,860468","43,607535"
25,Monument aux morts en marbre,"3,857592","43,610684"
26,"Statue ""La prairie"" en marbre","3,882187","43,610606"
27,"Statue ""Marsyas"" en marbre","3,881948","43,610609"
28,Monument à Jean Jaurès,"3,881686","43,610374"
29,"Statue ""Le vent"" marbre et fer","3,88118","43,611286"
30,Monument aux morts (Colonnade),"3,88256","43,610009"
31,Monument arménien en bronze et béton,"3,881682","43,611529"
32,Statue Jean Jaurès place J. Jaurès,"3,877733","43,609961"
33,"Statue ""Le chant rustique"" en pierre","3,880095","43,605296"
34,Monument à Planchon en pierre,"3,879909","43,605843"
35,"Monument aux morts ""Les soldats de l'ombre"" pierre","3,882341","43,609891"
36,Statue femme à genoux en pierre,"3,818841","43,613439"
37,Statue homme assis en pierre,"3,818858","43,613414"
38,Statue femme et enfant allongés en pierre,"3,818877","43,613383"
39,Statue homme et enfant allongés en pierre,"3,819101","43,613433"
40,Statue femme et enfant allongés en pierre,"3,819353","43,613505"
41,Statue homme et enfant allongés en pierre,"3,819558","43,613554"
42,Statue femme et enfant allongés,"3,819541","43,613579"
43,Homme et enfant allongés,"3,819476","43,613684"
45,Statue équestre Louis XIV,"3,870748","43,611261"
46,Croix du Peyrou,"3,87185","43,610422"
47,Croix sur colonne marbre rose,"3,874887","43,61209"
48,Fontaines des licornes,"3,874807","43,612104"
49,Monument à Albert Fabre,"3,873678","43,614106"
50,Monument au professeur Grasset,"3,873549","43,614068"
51,Monument à Auguste Baussan,"3,873451","43,613898"
52,Monument à Moquin Tendon,"3,873782","43,613975"
53,Plaque Jean Moulin,"3,868629","43,611404"
56,Fontaine de l'intendance ou fontaine de Montpellie,"3,876165","43,611319"
57,"Statue ""le paradis perdu"" plan de l'Université","3,875811","43,612985"
58,Monument à Jeanne d'Arc,"3,875921","43,614975"
59,Fontaine en pierre,"3,876613","43,610861"
60,2 vasques en pierre,"3,876442","43,610873"
61,"Statue ""la Vigne""","3,860905","43,611917"
63,Poste garde Peyrou nord,"3,87216","43,611604"
64,Poste garde Peyrou sud,"3,872054","43,610711"
65,Arc de Triomphe,"3,87248","43,6111"
66,2 Lions en pierre,"3,871822","43,611263"
67,Buste de la reine d'Italie,"3,88925","43,624608"
68,Croix de la Pierre Rouge,"3,883053","43,622442"
69,Croix de Boutonnet,"3,872302","43,622208"
70,Colonne Saint-Eloi,"3,866456","43,62666"
72,Monument à François-Xavier Fabre,"3,880281","43,611397"
73,Médaillon d'Ernest Michel,"3,880135","43,611407"
74,Statue Sébastien Bourdon rue Montpellieret,"3,880472","43,611261"
75,Statue Marie-Joseph Vien rue Montpellieret,"3,880327","43,61125"
76,Statue Jean Raoux rue Montpellieret,"3,880179","43,611231"
77,4 groupes scultés façade musée Fabre,"3,880425","43,611566"
78,Fronton d'Injalabert,"3,880201","43,611747"
79,Monument à Rabelais,"3,872333","43,614"
80,7 bustes des botanistes,"3,871747","43,613697"
81,Statue Richer de Belleval,"3,871085","43,613525"
82,Buste de Candolle,"3,87233","43,613473"
83,Statue de Lapeyronie,"3,873355","43,61292"
84,Statue de Barthez,"3,873463","43,612911"
85,Statue de Jacques Coeur,"3,87929","43,60978"
86,Buste de l'abbé J-B Favre,"3,87586","43,608912"
87,M de Morellet,"3,85644","43,590078"
88,Fontaine place Edouard Adam,"3,875785","43,606544"
89,Fontaine des Trois Grâces,"3,87944","43,608505"
90,Statue du Cardinal de Fleury,"3,872706","43,611315"
91,Statue de Cambaceres,"3,872872","43,611302"
92,Stèle à Valéry Larbaud,"3,879991","43,605391"
93,Fontaine jeune pâtre,"3,880161","43,605169"
94,Bassin square J. Monnet,"3,889758","43,60387"
95,Bassin avec champigon de mousse,"3,879787","43,605469"
96,Stèle aux victimes du régime de Vichy 1940-1944,"3,884588","43,609111"
97,Plaque Municipaux victimes des guerres,"3,884365","43,609353"
98,Tête cheval écurie Grammont,"3,930741","43,615787"
99,"Plaque ""Place d'armes""","3,882502","43,609919"
100,Kiosque Bosc,"3,881528","43,610664"
101,Bassin ouest Esplanade,"3,881357","43,612029"
102,Gingko institut IPSEN,"3,881954","43,611611"
103,Arbre de la liberté CG,"3,882095","43,611459"
104,Plaque à Auguste Comte,"3,882648","43,611395"
105,Fontaine Chambre de commerce,"3,877456","43,608028"
106,Tombe Serge Ivanovitch Plestscheyeff Conseillé Emp,"3,929744","43,614751"
107,Portail avec 2 lions en pierre,"3,930562","43,615557"
108,Niche en pierre,"3,930883","43,616128"
109,Bascule de vigneron,"3,930678","43,616421"
110,2 Plaques aux rois de Mallorque Jaume I et Jaume I,"3,873666","43,614069"
111,Observatoire,"3,871279","43,614182"
112,Bassin Bas sud Peyrou,"3,86854","43,611083"
113,Bassin bas N Peyrou,"3,86863","43,611751"
114,Château d'eau Peyrou,"3,869053","43,61139"
115,Grand Bassin Peyrou,"3,869265","43,611375"
116,Mosaïque Cadran solaire Peyrou,"3,86954","43,61135"
117,Croix sur colonne marbre blanc pl Jean Jaurès,"3,877615","43,609751"
118,Fontaine Place du marché aux fleurs,"3,877438","43,611419"
119,Fontaine square St-Roch,"3,87618","43,608867"
120,Vasque marbre rose St-Roch,"3,875882","43,609028"
121,Fontaine rue de la Saunerie,"3,87591","43,606466"
122,"Statue ""la chanson du vin"" pl J Bene","3,895961","43,604069"
123,Monument aux morts place Chaptal,"3,86766","43,603355"
124,Fontaine,"3,856036","43,633962"
125,L'octroi de la Paillade,"3,818703","43,631055"
126,La Gloriette,"3,818423","43,631559"
128,L'octroi du Verdanson,"3,882419","43,614847"
129,Lions sur piliers Château d'Ô,"3,841601","43,631638"
130,La Noria (haute),"3,872625","43,613755"
131,Scuplture moderne Place Schuman,"3,818126","43,6202"
132,Pierre dressée Place Schuman,"3,817994","43,619696"
133,Pont romain,"3,817321","43,614472"
134,Château de Bonnier de la Mosson,"3,819125","43,613767"
135,Buffet d'eau Bonnier de la Mosson,"3,821182","43,614095"
136,Plaque à Pierre Mendès France,"3,926036","43,607981"
137,Fontaine Moulin de l'Evèque,"3,895336","43,609151"
138,Cadran solaire Fac de Médecine,"3,873587","43,612917"
139,Aquabe la baleine,"3,878515","43,617145"
140,Fontaine à boire,"3,878439","43,617177"
141,Bassin Cloître,"3,87865","43,617393"
142,Tracteur à chenilles,"3,924797","43,617223"
143,Fontaine aux chevaux,"3,872053","43,610882"
145,Point of view de Tony Cragg,"3,894573","43,608999"
